"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","550","Login with correct email and password","LMS service","Sat May 02 21:45:09 UTC 2026","passed","Sat May 02 21:45:09 UTC 2026","Login","Authentication","",""
"","21","Create file with empty filename","LMS service","Sat May 02 21:45:16 UTC 2026","passed","Sat May 02 21:45:16 UTC 2026","Validate entity","Files","",""
"","16","Get file","LMS service","Sat May 02 21:45:16 UTC 2026","passed","Sat May 02 21:45:16 UTC 2026","Get entity","Files","",""
"","15","Get file with incorrect file id","LMS service","Sat May 02 21:45:14 UTC 2026","passed","Sat May 02 21:45:14 UTC 2026","Validate entity","Files","",""
"","40","Create course","LMS service","Sat May 02 21:45:09 UTC 2026","passed","Sat May 02 21:45:09 UTC 2026","Create entity","Courses","",""
"","21","Get exercise","LMS service","Sat May 02 21:45:13 UTC 2026","passed","Sat May 02 21:45:13 UTC 2026","Get entity","Exercises","",""
"","591","Create user","LMS service","Sat May 02 21:45:17 UTC 2026","passed","Sat May 02 21:45:17 UTC 2026","Create entity","Users","",""
"","21","Create file","LMS service","Sat May 02 21:45:14 UTC 2026","passed","Sat May 02 21:45:14 UTC 2026","Create entity","Files","",""
"","15","Login with invalid email and password","LMS service","Sat May 02 21:45:09 UTC 2026","passed","Sat May 02 21:45:09 UTC 2026","Login","Authentication","",""
"","24","Delete exercise","LMS service","Sat May 02 21:45:13 UTC 2026","passed","Sat May 02 21:45:13 UTC 2026","Delete entity","Exercises","",""
"","306","Create user","LMS service","Sat May 02 21:45:17 UTC 2026","passed","Sat May 02 21:45:17 UTC 2026","Create entity","Users","",""
"","46","Update course","LMS service","Sat May 02 21:45:10 UTC 2026","passed","Sat May 02 21:45:10 UTC 2026","Update entity","Courses","",""
"","19","Create file with empty directory","LMS service","Sat May 02 21:45:17 UTC 2026","passed","Sat May 02 21:45:17 UTC 2026","Validate entity","Files","",""
"","30","Update exercise","LMS service","Sat May 02 21:45:12 UTC 2026","passed","Sat May 02 21:45:12 UTC 2026","Update entity","Exercises","",""
"","597","Create user","LMS service","Sat May 02 21:45:17 UTC 2026","passed","Sat May 02 21:45:18 UTC 2026","Create entity","Users","",""
"","26","Delete file","LMS service","Sat May 02 21:45:17 UTC 2026","passed","Sat May 02 21:45:17 UTC 2026","Delete entity","Files","",""
"","289","Get exercises","LMS service","Sat May 02 21:45:14 UTC 2026","passed","Sat May 02 21:45:14 UTC 2026","Get entities","Exercises","",""
"","29","Create exercise","LMS service","Sat May 02 21:45:12 UTC 2026","passed","Sat May 02 21:45:12 UTC 2026","Create entity","Exercises","",""
"","11","Get user me","LMS service","Sat May 02 21:45:18 UTC 2026","passed","Sat May 02 21:45:18 UTC 2026","Get entity","Users","",""
"","43","Get courses","LMS service","Sat May 02 21:45:10 UTC 2026","passed","Sat May 02 21:45:10 UTC 2026","Get entities","Courses","",""
