"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Get exercise","LMS service","Sat May 02 21:42:16 UTC 2026","passed","Sat May 02 21:42:16 UTC 2026","Get entity","Exercises","",""
"","288","Get file with incorrect file id","LMS service","Sat May 02 21:42:19 UTC 2026","passed","Sat May 02 21:42:20 UTC 2026","Validate entity","Files","",""
"","288","Create file with empty directory","LMS service","Sat May 02 21:42:20 UTC 2026","passed","Sat May 02 21:42:21 UTC 2026","Validate entity","Files","",""
"","20","Create file with empty filename","LMS service","Sat May 02 21:42:20 UTC 2026","passed","Sat May 02 21:42:20 UTC 2026","Validate entity","Files","",""
"","25","Delete exercise","LMS service","Sat May 02 21:42:17 UTC 2026","passed","Sat May 02 21:42:17 UTC 2026","Delete entity","Exercises","",""
"","21","Get exercises","LMS service","Sat May 02 21:42:17 UTC 2026","passed","Sat May 02 21:42:17 UTC 2026","Get entities","Exercises","",""
"","292","Create user","LMS service","Sat May 02 21:42:21 UTC 2026","passed","Sat May 02 21:42:21 UTC 2026","Create entity","Users","",""
"","287","Login with correct email and password","LMS service","Sat May 02 21:42:13 UTC 2026","passed","Sat May 02 21:42:13 UTC 2026","Login","Authentication","",""
"","23","Update exercise","LMS service","Sat May 02 21:42:16 UTC 2026","passed","Sat May 02 21:42:16 UTC 2026","Update entity","Exercises","",""
"","574","Create course","LMS service","Sat May 02 21:42:13 UTC 2026","passed","Sat May 02 21:42:14 UTC 2026","Create entity","Courses","",""
"","292","Delete file","LMS service","Sat May 02 21:42:21 UTC 2026","passed","Sat May 02 21:42:21 UTC 2026","Delete entity","Files","",""
"","287","Create file","LMS service","Sat May 02 21:42:18 UTC 2026","passed","Sat May 02 21:42:19 UTC 2026","Create entity","Files","",""
"","303","Update course","LMS service","Sat May 02 21:42:14 UTC 2026","passed","Sat May 02 21:42:14 UTC 2026","Update entity","Courses","",""
"","560","Create user","LMS service","Sat May 02 21:42:21 UTC 2026","passed","Sat May 02 21:42:22 UTC 2026","Create entity","Users","",""
"","16","Get file","LMS service","Sat May 02 21:42:19 UTC 2026","passed","Sat May 02 21:42:19 UTC 2026","Get entity","Files","",""
"","22","Create exercise","LMS service","Sat May 02 21:42:15 UTC 2026","passed","Sat May 02 21:42:15 UTC 2026","Create entity","Exercises","",""
"","288","Create user","LMS service","Sat May 02 21:42:21 UTC 2026","passed","Sat May 02 21:42:21 UTC 2026","Create entity","Users","",""
"","34","Get courses","LMS service","Sat May 02 21:42:15 UTC 2026","passed","Sat May 02 21:42:15 UTC 2026","Get entities","Courses","",""
"","269","Login with invalid email and password","LMS service","Sat May 02 21:42:13 UTC 2026","passed","Sat May 02 21:42:13 UTC 2026","Login","Authentication","",""
"","12","Get user me","LMS service","Sat May 02 21:42:22 UTC 2026","passed","Sat May 02 21:42:22 UTC 2026","Get entity","Users","",""
